time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi
0.01,0.003649846423321177,3.348262489128653e-05,1.000004017914987,-4.207550735254703e-05,0.004586532284094717,0.000550383874091366,-0.0007022899474119985,-0.0001314730134077886,0.0
0.02,0.00864795599976519,0.00018803464075870416,1.000022564156891,-0.00023629129841117662,0.010867342014972038,0.0013040810417966446,0.015349762581048228,0.00936452651962748,0.0
0.03,0.013641968344290108,0.0004681876689818138,1.0000561825202778,-0.0005883419765498369,0.017143003012370525,0.0020571603614844627,0.012294225345999134,0.010418735310079008,0.0
0.04,0.018629516379679304,0.0008738532252389342,1.0001048623870288,-0.0010981163490905534,0.02341054071933249,0.0028092648863198987,-0.0008481601483016901,0.009022756925737532,0.0
0.05,0.023657969326067615,0.001410846329989121,1.0001693015595987,-0.0017729217862551727,0.029729481053450676,0.003567537726414081,-0.003459326578939754,0.010109670868265173,0.0
0.060000000000000005,0.028575760343862746,0.002061169757715578,1.0002473403709258,-0.002590142307456286,0.0359093595068087,0.0043091231408170436,-0.005692567215401664,0.011197299601768027,0.0
0.07,0.03352973311540064,0.002842445638883117,1.0003410934766659,-0.003571922534937414,0.04213470529286762,0.0050561646351441145,-0.0078537530642244,0.012304385114024236,0.0
0.08,0.038418502352186905,0.0037388068972614196,1.0004486568276714,-0.004698323312650921,0.04827811390062103,0.005793373668074522,-0.01730917605089009,0.012405790350383486,0.0
0.09,0.04338759816919038,0.0047789983373995384,1.000573479800488,-0.0060054664273168825,0.05452246386609378,0.006542695663931253,-0.02591051014494079,0.014386700766222874,0.0
0.09999999999999999,0.048286790561028504,0.005933663060485326,1.0007120395672582,-0.007456460911879131,0.06067897059678245,0.007281476471613893,-0.028547402096003444,0.013611960102658435,0.0
0.10999999999999999,0.053163031568350054,0.007212113037287732,1.0008654535644745,-0.009063008533920915,0.06680663576707632,0.008016796292049159,-0.03201467705311409,0.01466515256969269,0.0
0.11999999999999998,0.05801398512153476,0.008613943946784417,1.001033673273614,-0.010824601208660876,0.07290252378531246,0.008748302854237496,-0.03553339380577442,0.01568828167113785,0.0
0.12999999999999998,0.06283732181164953,0.010138712321552185,1.0012166454785862,-0.012740681658499455,0.07896370742989432,0.00947564489158732,-0.03908901524615643,0.016673851625174974,0.0
0.13999999999999999,0.06763071950516608,0.011785935652868123,1.001414312278344,-0.014810643545093006,0.08498726862176868,0.010198472234612241,-0.04075135421896223,0.013848210520861635,0.0
0.15,0.07239186395706945,0.013555092505075288,1.0016266111006091,-0.017033831613069823,0.09097029919488044,0.010916435903385653,-0.0443000852287981,0.014722264984420938,0.0
0.16,0.07711844942222175,0.015445622639188935,1.0018534747167027,-0.019409541845358456,0.09690990166443514,0.011629188199732217,-0.047847888001973905,0.015543493977890437,0.0
0.17,0.08180817926484567,0.01745692714571712,1.002094831257486,-0.02193702163009484,0.1028031899927984,0.01233638279913581,-0.05138189431424725,0.016306168529708707,0.0
0.18000000000000002,0.08645876656599287,0.01958836858666783,1.0023506042304002,-0.024615469939073886,0.1086472903528632,0.013037674842343583,-0.05488980102332284,0.017005106192655915,0.0
0.19000000000000003,0.09106793472886252,0.02183927114671264,1.0026207125376054,-0.027444037517707166,0.11443934188871571,0.013732721026645885,-0.04537488552495662,0.023172162440590012,0.0
0.20000000000000004,0.09563341808183606,0.02420892079347511,1.002905070495217,-0.03042182708644743,0.120176497473431,0.014421179696811717,-0.04872124678548719,0.023689882756793137,0.0
0.21000000000000005,0.1001529624790942,0.026696565446910056,1.0032035878536292,-0.03354789355363667,0.1258559244638306,0.01510271093565967,-0.052029064461585874,0.024131913239422518,0.0
0.22000000000000006,0.1046243258986832,0.029301415157738136,1.0035161698189285,-0.03682124423973389,0.131474805452035,0.0157769766542442,-0.055286564585748536,0.024495994218621614,0.0
0.23000000000000007,0.1090013263249291,0.03199485676489774,1.0038393828117878,-0.04020592278610415,0.13697510640557636,0.016437012768669167,-0.03142107342822357,0.03169188157963593,0.0
0.24000000000000007,0.11345701594915097,0.03488832945146705,1.004186599534176,-0.0438419678002997,0.14257429112162906,0.01710891493459549,-0.034497458667111736,0.03184461430952549,0.0
0.25000000000000006,0.11772710441308139,0.037810731102577655,1.0045372877323093,-0.0475143660234868,0.14794024254101398,0.01775282910492168,-0.037461930645012,0.03192101145942225,0.0
0.26000000000000006,0.12198358695812038,0.04087575091457868,1.0049050901097494,-0.051365983513282656,0.1532890962584651,0.018394691551015807,-0.040412609505739064,0.03191639202081418,0.0
0.2700000000000001,0.1261808810108008,0.04405346487324383,1.0052864157847892,-0.05535921664438354,0.15856357152280784,0.019027628582736936,-0.04330835637860355,0.0318321795485449,0.0
0.2800000000000001,0.13027578090760408,0.04730941670443572,1.0056771300045322,-0.05945076638570939,0.16370937449600095,0.019645124939520114,-0.049845686117016265,0.02577039943894251,0.0
0.2900000000000001,0.13442968917326487,0.05077744251908907,1.0060932931022908,-0.06380881615441929,0.16892932957243528,0.020271519548692236,-0.05257969173781216,0.025547466647169146,0.0
0.3000000000000001,0.13839614513821927,0.05425246087396363,1.0065102953048757,-0.06817565300832472,0.17391372514055053,0.020869647016866062,-0.05514959499814695,0.02526016348865339,0.0
0.3100000000000001,0.1424133592191815,0.057943917850870004,1.0069532701421045,-0.07281447465620146,0.17896190523840994,0.02147542862860919,-0.05768048307239536,0.024876453243817324,0.0
0.3200000000000001,0.1462046131084272,0.06159572717173755,1.0073914872606085,-0.07740347359010073,0.1837261353849491,0.022047136246193894,-0.05201948835665368,0.021752545896622646,0.0
