time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.01,-0.05940541252493858,0.09304805099964142,0.9919434189796448,0.014501221114483622,0.0011256787558253333,-0.007119225690412403,0.015120687443016995,0.013782542064277613,-0.012273533650903553,-0.008448343724012375,0.01261869445443149,-0.3516004979610443,-0.01329141542027061,0.01793349059232485,-0.3514028839876228
0.02,-0.05940541252493858,0.09304805099964142,0.9919434189796448,0.014501221114483622,0.0011256787558253333,-0.007119225690412403,0.015120687443016995,0.013782542064277613,-0.012273533650903553,-0.008448343724012375,0.01261869445443149,-0.3516004979610443,-0.01329141542027061,0.01793349059232485,-0.3514028839876228
0.03,-0.059020593762397766,0.0940966010093689,0.990332305431366,0.018911469841899304,-0.021822561323000835,-0.003002483435298427,0.020735390708028573,0.016526797631274966,-0.011069075871427945,0.0631454810500145,0.019776731729507446,-0.010796999558806421,0.06297384075006364,0.01999634427693682,-0.010386048012817764
0.04,-0.059020593762397766,0.0940966010093689,0.990332305431366,0.018911469841899304,-0.021822561323000835,-0.003002483435298427,0.020735390708028573,0.016526797631274966,-0.011069075871427945,0.0631454810500145,0.019776731729507446,-0.010796999558806421,0.06297384075006364,0.01999634427693682,-0.010386048012817764
0.05,-0.059020593762397766,0.0940966010093689,0.990332305431366,0.018911469841899304,-0.021822561323000835,-0.003002483435298427,0.020735390708028573,0.016526797631274966,-0.011069075871427945,0.0631454810500145,0.019776731729507446,-0.010796999558806421,0.06297384075006364,0.01999634427693682,-0.010386048012817764
0.060000000000000005,-0.059020593762397766,0.0940966010093689,0.990332305431366,0.018911469841899304,-0.021822561323000835,-0.003002483435298427,0.020735390708028573,0.016526797631274966,-0.011069075871427945,0.0631454810500145,0.019776731729507446,-0.010796999558806421,0.06297384075006364,0.01999634427693682,-0.010386048012817764
0.07,-0.05850354954600334,0.09413855522871017,0.9899547696113586,0.020786986542686254,-0.03651595455120872,0.03918401065016196,0.02088604360514144,0.01693483975018311,-0.010627921997798592,-0.040545739233493805,-0.009960873052477818,0.15515586733818054,-0.03792204466703817,-0.013199057141899841,0.15493621534416532
0.08,-0.05838048458099365,0.09397303313016891,0.990084707736969,0.018938287872449153,-0.04715364496093642,0.04168557846149761,0.01932217504017887,0.01722278385253063,-0.010823691140410048,-0.022863084450364113,0.05419429764151575,0.1452128142118454,-0.020344299593513214,0.05137852850540405,0.14625448503876937
0.09,-0.05818869546055794,0.09379129111766815,0.9901993274688721,0.02224176379446562,-0.04564923480440777,0.038157588472409784,0.01761688238019074,0.01708232623226025,-0.010843737328051134,-0.20538640022277832,-0.09362444281578065,-0.1640392243862152,-0.20821658587283323,-0.09072020456197047,-0.1656872290336357
0.09999999999999999,-0.05818869546055794,0.09379129111766815,0.9901993274688721,0.02224176379446562,-0.04564923480440777,0.038157588472409784,0.01761688238019074,0.01708232623226025,-0.010843737328051134,-0.20538640022277832,-0.09362444281578065,-0.1640392243862152,-0.20821658587283323,-0.09072020456197047,-0.1656872290336357
0.10999999999999999,-0.05818869546055794,0.09379129111766815,0.9901993274688721,0.02224176379446562,-0.04564923480440777,0.038157588472409784,0.01761688238019074,0.01708232623226025,-0.010843737328051134,-0.20538640022277832,-0.09362444281578065,-0.1640392243862152,-0.20821658587283323,-0.09072020456197047,-0.1656872290336357
0.11999999999999998,-0.05818869546055794,0.09379129111766815,0.9901993274688721,0.02224176379446562,-0.04564923480440777,0.038157588472409784,0.01761688238019074,0.01708232623226025,-0.010843737328051134,-0.20538640022277832,-0.09362444281578065,-0.1640392243862152,-0.20821658587283323,-0.09072020456197047,-0.1656872290336357
0.12999999999999998,-0.05739849433302879,0.09317182004451752,0.990317165851593,0.028373481689707054,-0.042207117665156564,0.026649905002024608,0.010139639604348999,0.01644637212270342,-0.011199324274238918,-0.1963416486978531,0.07883785665035249,0.1488610804080963,-0.19388018109682773,0.07732443209225419,0.1496730434174722
0.13999999999999999,-0.05739849433302879,0.09317182004451752,0.990317165851593,0.028373481689707054,-0.042207117665156564,0.026649905002024608,0.010139639604348999,0.01644637212270342,-0.011199324274238918,-0.1963416486978531,0.07883785665035249,0.1488610804080963,-0.19388018109682773,0.07732443209225419,0.1496730434174722
0.15,-0.05739849433302879,0.09317182004451752,0.990317165851593,0.028373481689707054,-0.042207117665156564,0.026649905002024608,0.010139639604348999,0.01644637212270342,-0.011199324274238918,-0.1963416486978531,0.07883785665035249,0.1488610804080963,-0.19388018109682773,0.07732443209225419,0.1496730434174722
0.16,-0.05739849433302879,0.09317182004451752,0.990317165851593,0.028373481689707054,-0.042207117665156564,0.026649905002024608,0.010139639604348999,0.01644637212270342,-0.011199324274238918,-0.1963416486978531,0.07883785665035249,0.1488610804080963,-0.19388018109682773,0.07732443209225419,0.1496730434174722
0.17,-0.05739849433302879,0.09317182004451752,0.990317165851593,0.028373481689707054,-0.042207117665156564,0.026649905002024608,0.010139639604348999,0.01644637212270342,-0.011199324274238918,-0.1963416486978531,0.07883785665035249,0.1488610804080963,-0.19388018109682773,0.07732443209225419,0.1496730434174722
0.18000000000000002,-0.056393422186374664,0.09292515367269516,0.9893643260002136,0.015674597996177143,-0.018558648125261278,-0.005193045415668608,0.00453434125833704,0.016295345573495823,-0.011352359894778355,-0.4206271469593048,-0.09544978290796283,-0.2221776247024536,-0.4242549446580539,-0.09444137595570846,-0.22263769986086618
