time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.01,-0.07002182304859161,0.04078609123826027,0.988874614238739,-0.0010330176201541305,-0.01524774692286708,0.01978148709787095,0.004549534863942958,0.021784232927385832,0.00019977677359207715,-0.03553767874836922,0.012378927320241939,0.08732698112726212,-0.0336338191200605,0.01198150343464617,0.08740313341826421
0.02,-0.07002182304859161,0.04078609123826027,0.988874614238739,-0.0010330176201541305,-0.01524774692286708,0.01978148709787095,0.004549534863942958,0.021784232927385832,0.00019977677359207715,-0.03553767874836922,0.012378927320241939,0.08732698112726212,-0.0336338191200605,0.01198150343464617,0.08740313341826421
0.03,-0.06997410953044891,0.04073560982942581,0.9892818927764893,0.006568616299851188,-0.01232475205377097,0.020373981413386855,0.004632481793317366,0.02112714719157159,0.0009639147354814152,0.03991302475333214,-0.008039440959692003,-0.015325846150517462,0.03958840169319239,-0.007968358247767211,-0.015366353443160131
0.04,-0.06997410953044891,0.04073560982942581,0.9892818927764893,0.006568616299851188,-0.01232475205377097,0.020373981413386855,0.004632481793317366,0.02112714719157159,0.0009639147354814152,0.03991302475333214,-0.008039440959692003,-0.015325846150517462,0.03958840169319239,-0.007968358247767211,-0.015366353443160131
0.05,-0.06997410953044891,0.04073560982942581,0.9892818927764893,0.006568616299851188,-0.01232475205377097,0.020373981413386855,0.004632481793317366,0.02112714719157159,0.0009639147354814152,0.03991302475333214,-0.008039440959692003,-0.015325846150517462,0.03958840169319239,-0.007968358247767211,-0.015366353443160131
0.060000000000000005,-0.06997410953044891,0.04073560982942581,0.9892818927764893,0.006568616299851188,-0.01232475205377097,0.020373981413386855,0.004632481793317366,0.02112714719157159,0.0009639147354814152,0.03991302475333214,-0.008039440959692003,-0.015325846150517462,0.03958840169319239,-0.007968358247767211,-0.015366353443160131
0.07,-0.06997410953044891,0.04073560982942581,0.9892818927764893,0.006568616299851188,-0.01232475205377097,0.020373981413386855,0.004632481793317366,0.02112714719157159,0.0009639147354814152,0.03991302475333214,-0.008039440959692003,-0.015325846150517462,0.03958840169319239,-0.007968358247767211,-0.015366353443160131
0.08,-0.0699433833360672,0.0407489649951458,0.9910109043121338,0.0029622772084621682,-0.024802885807494315,0.060007795783812365,0.005429094879839952,0.021041284819885864,0.0006376847796161308,-0.05651988461613655,0.011603090912103663,0.08207374066114426,-0.05479139254338454,0.011157335975309386,0.08215371058940027
0.09,-0.06992533057928085,0.04076767340302467,0.9915134310722351,0.002271174055833928,-0.007569590870760957,0.05355477346046313,0.004147764523875455,0.020270924655561864,0.0009194167311290848,-0.07977034896612167,-0.059326738119125366,0.0010627999436110332,-0.07975379106568703,-0.05933063602398492,0.0008168859950521695
0.09999999999999999,-0.06992533057928085,0.04076767340302467,0.9915134310722351,0.002271174055833928,-0.007569590870760957,0.05355477346046313,0.004147764523875455,0.020270924655561864,0.0009194167311290848,-0.07977034896612167,-0.059326738119125366,0.0010627999436110332,-0.07975379106568703,-0.05933063602398492,0.0008168859950521695
0.10999999999999999,-0.06992533057928085,0.04076767340302467,0.9915134310722351,0.002271174055833928,-0.007569590870760957,0.05355477346046313,0.004147764523875455,0.020270924655561864,0.0009194167311290848,-0.07977034896612167,-0.059326738119125366,0.0010627999436110332,-0.07975379106568703,-0.05933063602398492,0.0008168859950521695
0.11999999999999998,-0.06992533057928085,0.04076767340302467,0.9915134310722351,0.002271174055833928,-0.007569590870760957,0.05355477346046313,0.004147764523875455,0.020270924655561864,0.0009194167311290848,-0.07977034896612167,-0.059326738119125366,0.0010627999436110332,-0.07975379106568703,-0.05933063602398492,0.0008168859950521695
0.12999999999999998,-0.06947851926088333,0.04141600802540779,0.9930498003959656,0.012441628690159877,0.004648634790797569,0.028103037895386523,0.0013973862835274398,0.0193289087203878,0.000627866698961903,-0.09489988535642624,-0.014042127877473833,-0.017233137041330338,-0.09523340357703798,-0.014018032826039301,-0.017255965858339085
0.13999999999999999,-0.06947851926088333,0.04141600802540779,0.9930498003959656,0.012441628690159877,0.004648634790797569,0.028103037895386523,0.0013973862835274398,0.0193289087203878,0.000627866698961903,-0.09489988535642624,-0.014042127877473833,-0.017233137041330338,-0.09523340357703798,-0.014018032826039301,-0.017255965858339085
0.15,-0.06947851926088333,0.04141600802540779,0.9930498003959656,0.012441628690159877,0.004648634790797569,0.028103037895386523,0.0013973862835274398,0.0193289087203878,0.000627866698961903,-0.09489988535642624,-0.014042127877473833,-0.017233137041330338,-0.09523340357703798,-0.014018032826039301,-0.017255965858339085
0.16,-0.06947851926088333,0.04141600802540779,0.9930498003959656,0.012441628690159877,0.004648634790797569,0.028103037895386523,0.0013973862835274398,0.0193289087203878,0.000627866698961903,-0.09489988535642624,-0.014042127877473833,-0.017233137041330338,-0.09523340357703798,-0.014018032826039301,-0.017255965858339085
0.17,-0.06947851926088333,0.04141600802540779,0.9930498003959656,0.012441628690159877,0.004648634790797569,0.028103037895386523,0.0013973862835274398,0.0193289087203878,0.000627866698961903,-0.09489988535642624,-0.014042127877473833,-0.017233137041330338,-0.09523340357703798,-0.014018032826039301,-0.017255965858339085
0.18000000000000002,-0.069126658141613,0.04225517436861992,0.993069052696228,0.00894561120170974,0.014461204697860398,-0.0019380807693966345,-0.003980932478029063,0.020694375038628483,0.0003409315618741467,-0.1842890828847885,0.10592187196016314,0.2017025351524353,-0.18012313946494254,0.10672399469792977,0.20132237751119028
