time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.01,2.7956628799438477,0.09953801333904266,1.1082494258880615,0.008587137233741911,-0.006077967555868273,0.022855207930600537,0.048824813068425184,0.004928411794660512,0.012687505363190112,0.01603420078754425,0.03891609609127044,-0.0530279390513897,0.015782527284036077,0.04145777066277495,-0.05106604983986936
0.02,2.7956628799438477,0.09953801333904266,1.1082494258880615,0.008587137233741911,-0.006077967555868273,0.022855207930600537,0.048824813068425184,0.004928411794660512,0.012687505363190112,0.01603420078754425,0.03891609609127044,-0.0530279390513897,0.015782527284036077,0.04145777066277495,-0.05106604983986936
0.03,2.7960681915283203,0.09987674653530121,1.108541488647461,-0.0002930820168532368,-0.00853033662453896,0.022458750914810876,0.04913588057627524,0.005299056119765294,0.012629723383055343,0.003443661844357848,-0.012645506300032135,0.025778401643037796,0.003576808186604215,-0.013896378970503305,0.025126543739848767
0.04,2.7960681915283203,0.09987674653530121,1.108541488647461,-0.0002930820168532368,-0.00853033662453896,0.022458750914810876,0.04913588057627524,0.005299056119765294,0.012629723383055343,0.003443661844357848,-0.012645506300032135,0.025778401643037796,0.003576808186604215,-0.013896378970503305,0.025126543739848767
0.05,2.7960681915283203,0.09987674653530121,1.108541488647461,-0.0002930820168532368,-0.00853033662453896,0.022458750914810876,0.04913588057627524,0.005299056119765294,0.012629723383055343,0.003443661844357848,-0.012645506300032135,0.025778401643037796,0.003576808186604215,-0.013896378970503305,0.025126543739848767
0.060000000000000005,2.7960681915283203,0.09987674653530121,1.108541488647461,-0.0002930820168532368,-0.00853033662453896,0.022458750914810876,0.04913588057627524,0.005299056119765294,0.012629723383055343,0.003443661844357848,-0.012645506300032135,0.025778401643037796,0.003576808186604215,-0.013896378970503305,0.025126543739848767
0.07,2.7959816455841064,0.09971848875284195,1.1095815896987915,0.0077890356205516514,0.03157671843993926,0.08217541707974138,0.046311629039507377,0.0035093979404956324,0.012304790516368394,-0.22076532244682312,-0.0835161805152893,-0.043983988463878625,-0.22093308364728376,-0.08139039305041579,-0.047803511502526735
0.08,2.7959816455841064,0.09971848875284195,1.1095815896987915,0.0077890356205516514,0.03157671843993926,0.08217541707974138,0.046311629039507377,0.0035093979404956324,0.012304790516368394,-0.22076532244682312,-0.0835161805152893,-0.043983988463878625,-0.22093308364728376,-0.08139039305041579,-0.047803511502526735
0.09,2.7959816455841064,0.09971848875284195,1.1095815896987915,0.0077890356205516514,0.03157671843993926,0.08217541707974138,0.046311629039507377,0.0035093979404956324,0.012304790516368394,-0.22076532244682312,-0.0835161805152893,-0.043983988463878625,-0.22093308364728376,-0.08139039305041579,-0.047803511502526735
0.09999999999999999,2.7959816455841064,0.09971848875284195,1.1095815896987915,0.0077890356205516514,0.03157671843993926,0.08217541707974138,0.046311629039507377,0.0035093979404956324,0.012304790516368394,-0.22076532244682312,-0.0835161805152893,-0.043983988463878625,-0.22093308364728376,-0.08139039305041579,-0.047803511502526735
