time,out1_obs,out2_obs,out3_obs
0.01,-0.012241510537727629,0.5758740312924837,0.03763533520224782
0.02,-0.010933806532474593,0.5774168039928095,0.03643083531946392
0.03,-0.009894131162459173,0.5787646141292756,0.03519714125510508
0.04,-0.01066465096772718,0.5798566777300725,0.033563430879070426
0.05,-0.009006583332442662,0.5816911517267093,0.0315553026107771
0.060000000000000005,-0.007484531077531214,0.5834296852681932,0.029232368042803027
0.07,-0.006126772320093023,0.58507760818527,0.026631056883936778
0.08,-0.004992809063170667,0.5866439588396389,0.023777392366536282
0.09,-0.0043827764822429735,0.5881423891328719,0.02069097462490979
0.09999999999999999,-0.0021811154855527876,0.5905512238655716,0.017565831224827494
0.10999999999999999,-6.587601279361152e-05,0.5929090656567731,0.014196683222801612
0.11999999999999998,0.001948057201953466,0.5952066099909954,0.01060348971502931
0.12999999999999998,0.003840889655215905,0.5974334231939391,0.006802966296369676
0.13999999999999999,0.006193793982682393,0.600151887538468,0.0031579661150208343
0.15,0.00843517979932045,0.6027902704564828,-0.0007291935640815223
0.16,0.010533055996835758,0.6053249223694707,-0.004838602332377902
0.17,0.013149770836172804,0.608410654698137,-0.008615000908232608
0.18000000000000002,0.01562831717069983,0.6113791537920158,-0.01266534104624794
0.19000000000000003,0.01792574334894081,0.614198221268025,-0.01696040258867812
0.20000000000000004,0.019968119242638024,0.6168226830515346,-0.02148037394307764
0.21000000000000005,0.022690166286966646,0.6200993193613981,-0.025598470289109658
0.22000000000000006,0.02519985020105915,0.6231865064570532,-0.02998946287481412
0.23000000000000007,0.02741463583283465,0.6260339181594798,-0.03462910429567371
0.24000000000000007,0.02910987904901067,0.6285524166634824,-0.039500135682084034
0.25000000000000006,0.03187251730407828,0.63192176335045,-0.043915869417451875
0.26000000000000006,0.03433639763829986,0.6350276804474925,-0.04860682384430469
0.2700000000000001,0.03631422153485363,0.6377816041024009,-0.05355149693493947
0.2800000000000001,0.03473389381736343,0.6399552679801016,-0.05873463156375147
0.2900000000000001,0.03245085639766403,0.6380713636308561,-0.06414532291692451
0.3000000000000001,0.03570704669486412,0.6419541643685955,-0.0684740646463152
0.3100000000000001,0.03867393820881521,0.6455469952091061,-0.07313185641287967
0.3200000000000001,0.04123689118254521,0.6487806748340113,-0.07808544029476233
0.3300000000000001,0.04299327805818887,0.6515048673459808,-0.08331194082934905
0.34000000000000014,0.04621374308813109,0.6553631967201246,-0.08791758304676733
0.35000000000000014,0.049039217923899286,0.6588529678863222,-0.09284180885602628
0.36000000000000015,0.05119155295557827,0.6618493384694183,-0.09805761487872988
0.37000000000000016,0.0545384132766795,0.6658860297684529,-0.10266001171693978
0.38000000000000017,0.057459104905791314,0.6695309344343248,-0.10759435635327008
0.3900000000000002,0.059656353040471864,0.6726627105470868,-0.11283077663747818
0.4000000000000002,0.05745999164533761,0.6748560064584128,-0.11834486598357871
0.4100000000000002,0.060522059587874995,0.67875652582112,-0.12319694495998132
0.4200000000000002,0.06291673151626062,0.6821724984462741,-0.12835872383107083
0.4300000000000002,0.060850210196496064,0.6848484890547885,-0.13380428018416204
0.4400000000000002,0.0580011307786041,0.6825896942977809,-0.13951003466806997
0.45000000000000023,0.0606230241100786,0.6863166491146682,-0.14454915384918166
0.46000000000000024,0.0590019423369713,0.689442471108979,-0.14987029903890092
0.47000000000000025,0.05625882188655649,0.6911736367497472,-0.15544897322456108
0.48000000000000026,0.05306367470732025,0.6882595735932328,-0.16126498898934793
0.49000000000000027,0.04955977978067154,0.6847440151941627,-0.1673010358801028
0.5000000000000002,0.052631215909829096,0.6890076094251623,-0.17203409327853925
0.5100000000000002,0.054985076151249854,0.6927790142801646,-0.1770577385315262
0.5200000000000002,0.052815923416618414,0.6958904478525435,-0.18234212169775035
0.5300000000000002,0.04991678036395901,0.6947883420292447,-0.18786355098864768
0.5400000000000003,0.053164102192432255,0.6992498532121144,-0.19246267347851193
